sampleid,x,y
566,615,1
567,132,1
568,666,1
569,433,1
570,415,1
571,499,1
572,25,1
573,852,1
574,881,1
575,327,1
576,456,1
577,732,1
578,548,1
579,975,1
580,766,1
581,479,1
582,415,1
583,401,1
584,256,1
585,464,1
586,481,1
587,209,1
588,992,1
589,142,1
590,71,1
591,391,1
592,879,1
593,638,1
594,640,1
595,880,1
596,716,1
597,1011,0
598,616,1
599,970,1
600,522,1
601,958,1
602,699,1
603,853,1
604,834,1
605,182,1
606,258,1
607,844,1
608,983,1
609,43,1
610,132,1
611,616,1
612,195,1
613,565,1
614,277,1
615,927,1
616,725,1
617,288,1
618,525,1
619,19,1
620,110,1
621,984,1
622,164,1
623,521,1
624,592,1
625,499,1
626,185,1
627,537,1
628,583,1
629,784,1
630,614,1
631,836,1
632,959,1
633,359,1
634,739,1
635,515,1
636,567,1
637,278,1
638,405,1
639,805,1
640,49,1
641,985,1
642,89,1
643,520,1
644,366,1
645,699,1
646,306,1
647,970,1
648,949,1
649,928,1
650,587,1
651,528,1
652,996,1
653,598,1
654,172,1
655,804,1
656,542,1
657,234,1
658,651,1
659,6,1
660,4,1
661,882,1
662,964,1
663,12,1
664,959,1
665,932,1
666,679,1
667,195,1
668,544,1
669,205,1
670,351,1
671,132,1
672,961,1
673,613,1
674,517,1
675,811,1
676,185,1
677,175,1
678,382,1
679,885,1
680,1025,0
681,386,1
682,225,1
683,482,1
684,229,1
685,249,1
686,638,1
687,546,1
688,326,1
689,167,1
690,741,1
691,814,1
692,586,1
693,839,1
694,117,1
695,460,1
696,638,1
697,876,1
698,827,1
699,14,1
700,540,1
701,611,1
702,905,1
703,843,1
704,253,1
705,881,1
706,52,1
707,86,1
708,355,1
709,924,1
710,59,1
711,293,1
712,951,1
713,845,1
714,854,1
715,6,1
716,584,1
717,791,1
718,845,1
719,222,1
720,108,1
721,685,1
722,738,1
723,318,1
724,897,1
725,415,1
726,443,1
727,23,1
728,248,1
729,104,1
730,897,1
731,587,1
732,279,1
733,454,1
734,800,1
735,957,1
736,469,1
737,436,1
738,945,1
739,608,1
740,891,1
741,1023,0
742,310,1
743,927,1
744,667,1
745,802,1
746,3,1
747,367,1
748,867,1
749,836,1
750,663,1
751,326,1
752,879,1
753,906,1
754,628,1
755,29,1
756,129,1
757,209,1
758,31,1
759,1001,0
760,128,1
761,273,1
762,184,1
763,206,1
764,12,1
765,900,1
766,276,1
767,250,1
768,799,1
769,626,1
770,752,1
771,972,1
772,299,1
773,145,1
774,464,1
775,637,1
776,628,1
777,159,1
778,850,1
779,668,1
780,679,1
781,570,1
782,127,1
783,850,1
784,62,1
785,97,1
786,691,1
787,208,1
788,572,1
789,730,1
790,477,1
791,924,1
792,508,1
793,290,1
794,266,1
795,617,1
796,333,1
797,461,1
798,219,1
799,867,1
800,445,1
801,942,1
802,143,1
803,942,1
804,408,1
805,578,1
806,666,1
807,619,1
808,137,1
809,356,1
810,943,1
811,319,1
812,798,1
813,764,1
814,296,1
815,975,1
816,967,1
817,541,1
818,700,1
819,755,1
820,829,1
821,1016,0
822,493,1
823,443,1
824,389,1
825,820,1
826,80,1
827,107,1
828,733,1
829,480,1
830,816,1
831,292,1
832,595,1
833,860,1
834,599,1
835,524,1
836,870,1
837,348,1
838,864,1
839,721,1
840,646,1
841,365,1
842,938,1
843,465,1
844,444,1
845,460,1
846,168,1
847,440,1
848,716,1
849,413,1
850,689,1
851,461,1
852,684,1
853,155,1
854,961,1
855,56,1
856,994,1
857,234,1
858,109,1
859,356,1
860,293,1
861,632,1
862,73,1
863,126,1
864,998,1
865,325,1
866,153,1
867,1008,0
868,282,1
869,276,1
870,374,1
871,798,1
872,51,1
873,426,1
874,369,1
875,435,1
876,634,1
877,707,1
878,71,1
879,666,1
880,517,1
881,338,1
882,124,1
883,329,1
884,174,1
885,1018,0
886,798,1
887,206,1
888,663,1
889,55,1
890,917,1
891,631,1
892,8,1
893,222,1
894,765,1
895,164,1
896,317,1
897,49,1
898,887,1
899,154,1
900,924,1
901,776,1
902,1000,1
903,826,1
904,593,1
905,82,1
906,29,1
907,753,1
908,161,1
909,187,1
910,331,1
911,253,1
912,523,1
913,605,1
914,1012,0
915,437,1
916,99,1
917,488,1
918,498,1
919,374,1
920,131,1
921,253,1
922,447,1
923,195,1
924,394,1
925,344,1
926,902,1
927,129,1
928,113,1
929,62,1
930,908,1
931,751,1
932,809,1
933,394,1
934,445,1
935,288,1
936,183,1
937,868,1
938,475,1
939,726,1
940,1008,0
941,685,1
942,364,1
943,65,1
944,327,1
945,754,1
946,511,1
947,424,1
948,627,1
949,1017,0
950,101,1
951,377,1
952,717,1
953,290,1
954,29,1
955,925,1
956,89,1
957,657,1
958,770,1
959,438,1
960,387,1
961,905,1
962,548,1
963,128,1
964,130,1
965,676,1
966,312,1
967,1003,0
968,771,1
969,617,1
970,836,1
971,643,1
972,172,1
973,428,1
974,732,1
975,241,1
976,1017,0
977,743,1
978,255,1
979,963,1
980,350,1
981,372,1
982,464,1
983,372,1
984,380,1
985,622,1
986,175,1
987,335,1
988,394,1
989,815,1
990,950,1
991,418,1
992,783,1
993,519,1
994,531,1
995,901,1
996,632,1
997,313,1
998,171,1
999,71,1
1000,201,1
1001,896,1
1002,551,1
1003,624,1
1004,15,1
1005,1018,0
1006,859,1
1007,347,1
1008,200,1
1009,1002,0
1010,976,1
1011,252,1
1012,501,1
1013,508,1
1014,758,1
1015,552,1
1016,675,1
1017,496,1
1018,381,1
1019,527,1
1020,381,1
1021,353,1
1022,277,1
1023,760,1
1024,267,1
1025,939,1
1026,39,1
1027,689,1
1028,614,1
1029,989,1
1030,996,1
1031,932,1
1032,563,1
1033,123,1
1034,117,1
1035,115,1
1036,557,1
1037,333,1
1038,797,1
1039,654,1
1040,363,1
1041,290,1
1042,370,1
1043,786,1
1044,202,1
1045,951,1
1046,239,1
1047,886,1
1048,30,1
1049,84,1
1050,209,1
1051,516,1
1052,184,1
1053,484,1
1054,955,1
1055,916,1
1056,425,1
1057,490,1
1058,980,1
1059,5,1
1060,650,1
1061,227,1
1062,38,1
1063,276,1
1064,501,1
1065,933,1
1066,1020,0
1067,893,1
1068,355,1
1069,689,1
1070,457,1
1071,245,1
1072,366,1
1073,947,1
1074,767,1
1075,573,1
1076,591,1
1077,802,1
1078,19,1
1079,312,1
1080,219,1
1081,745,1
1082,631,1
1083,281,1
1084,387,1
1085,468,1
1086,268,1
1087,903,1
1088,645,1
1089,712,1
1090,509,1
1091,77,1
1092,685,1
1093,814,1
1094,320,1
1095,394,1
1096,586,1
1097,429,1
1098,605,1
1099,875,1
1100,522,1
1101,884,1
1102,785,1
1103,155,1
1104,448,1
1105,189,1
1106,400,1
1107,651,1
1108,1025,0
1109,450,1
1110,165,1
1111,934,1
1112,549,1
1113,171,1
1114,658,1
1115,229,1
1116,334,1
1117,949,1
1118,923,1
1119,796,1
1120,116,1
1121,988,1
1122,511,1
1123,892,1
1124,293,1
1125,314,1
1126,321,1
1127,794,1
1128,704,1
1129,743,1
1130,167,1
1131,427,1
1132,626,1
1133,136,1
1134,158,1
1135,906,1
1136,416,1
1137,944,1
1138,313,1
1139,361,1
1140,136,1
1141,577,1
1142,884,1
1143,250,1
1144,531,1
1145,439,1
1146,623,1
1147,391,1
1148,326,1
1149,8,1
1150,288,1
1151,614,1
1152,156,1
1153,479,1
1154,333,1
1155,419,1
1156,189,1
1157,586,1
1158,702,1
1159,888,1
1160,851,1
1161,811,1
1162,487,1
1163,653,1
1164,819,1
1165,891,1
1166,320,1
1167,16,1
1168,499,1
1169,577,1
1170,982,1
1171,6,1
1172,501,1
1173,568,1
1174,313,1
1175,195,1
1176,110,1
1177,46,1
1178,982,1
1179,741,1
1180,872,1
1181,479,1
1182,1013,0
1183,37,1
1184,345,1
1185,59,1
1186,421,1
1187,422,1
1188,442,1
1189,976,1
1190,403,1
1191,348,1
1192,191,1
1193,877,1
1194,928,1
1195,16,1
1196,543,1
1197,636,1
1198,871,1
1199,360,1
1200,508,1
1201,470,1
1202,82,1
1203,901,1
1204,1003,0
1205,315,1
1206,948,1
1207,403,1
1208,72,1
1209,745,1
1210,78,1
1211,189,1
1212,744,1
1213,738,1
1214,513,1
1215,966,1
1216,289,1
1217,1022,0
1218,792,1
1219,744,1
1220,955,1
1221,971,1
1222,70,1
1223,928,1
1224,1013,0
1225,952,1
1226,890,1
1227,637,1
1228,879,1
1229,200,1
1230,924,1
1231,626,1
1232,945,1
1233,343,1
1234,149,1
1235,460,1
1236,1021,0
1237,945,1
1238,935,1
1239,143,1
1240,842,1
1241,806,1
1242,473,1
1243,126,1
1244,860,1
1245,373,1
1246,298,1
1247,79,1
1248,254,1
1249,82,1
1250,497,1
1251,1001,0
1252,426,1
1253,266,1
1254,610,1
1255,395,1
1256,288,1
1257,584,1
1258,144,1
1259,663,1
1260,877,1
1261,810,1
1262,413,1
1263,616,1
1264,553,1
1265,956,1
1266,508,1
1267,591,1
1268,613,1
1269,847,1
1270,607,1
1271,391,1
1272,407,1
1273,346,1
1274,28,1
1275,866,1
1276,529,1
1277,68,1
1278,1012,0
1279,628,1
1280,1002,0
1281,126,1
1282,995,1
1283,659,1
1284,525,1
1285,831,1
1286,982,1
1287,895,1
1288,306,1
1289,94,1
1290,683,1
1291,805,1
1292,684,1
1293,736,1
1294,412,1
1295,152,1
1296,578,1
1297,775,1
1298,176,1
1299,907,1
1300,38,1
1301,190,1
1302,457,1
1303,328,1
1304,403,1
1305,344,1
1306,259,1
1307,1012,0
1308,30,1
1309,578,1
1310,923,1
1311,522,1
1312,349,1
1313,602,1
1314,981,1
1315,203,1
1316,711,1
1317,92,1
1318,561,1
1319,857,1
1320,42,1
1321,64,1
1322,504,1
1323,959,1
1324,204,1
1325,418,1
1326,735,1
1327,583,1
1328,240,1
1329,565,1
1330,1008,0
1331,189,1
1332,891,1
1333,481,1
1334,556,1
1335,446,1
1336,299,1
1337,450,1
1338,728,1
1339,585,1
1340,393,1
1341,419,1
1342,371,1
1343,951,1
1344,112,1
1345,240,1
1346,377,1
1347,254,1
1348,106,1
1349,927,1
1350,379,1
1351,208,1
1352,991,1
1353,440,1
1354,214,1
1355,149,1
1356,980,1
1357,571,1
1358,476,1
1359,361,1
1360,474,1
1361,412,1
1362,398,1
1363,453,1
1364,879,1
1365,26,1
1366,854,1
1367,552,1
1368,910,1
1369,607,1
1370,302,1
1371,899,1
1372,991,1
1373,490,1
1374,640,1
1375,124,1
1376,896,1
1377,188,1
1378,956,1
1379,280,1
1380,347,1
1381,243,1
1382,486,1
1383,95,1
1384,33,1
1385,943,1
1386,922,1
1387,808,1
1388,285,1
1389,642,1
1390,939,1
1391,578,1
1392,950,1
1393,89,1
1394,152,1
1395,973,1
1396,159,1
1397,707,1
1398,973,1
1399,568,1
1400,289,1
1401,219,1
1402,82,1
1403,810,1
1404,1009,0
1405,745,1
1406,791,1
1407,586,1
1408,178,1
1409,392,1
1410,1004,0
1411,5,1
1412,633,1
1413,376,1
1414,964,1
1415,380,1
1416,242,1
1417,909,1
1418,986,1
1419,658,1
1420,827,1
1421,305,1
1422,417,1
1423,1018,0
1424,519,1
1425,926,1
1426,503,1
1427,118,1
1428,461,1
1429,597,1
1430,253,1
1431,486,1
1432,315,1
1433,707,1
1434,262,1
1435,568,1
1436,751,1
1437,23,1
1438,151,1
1439,473,1
1440,26,1
1441,343,1
1442,344,1
1443,27,1
1444,201,1
1445,868,1
1446,674,1
1447,126,1
1448,393,1
1449,331,1
1450,493,1
1451,336,1
1452,1,1
1453,586,1
1454,85,1
1455,997,1
1456,774,1
1457,15,1
1458,944,1
1459,773,1
1460,422,1
1461,937,1
1462,602,1
1463,102,1
1464,539,1
1465,295,1
1466,478,1
1467,218,1
1468,506,1
1469,823,1
1470,488,1
1471,915,1
1472,364,1
1473,190,1
1474,119,1
1475,520,1
1476,624,1
1477,680,1
1478,523,1
1479,325,1
1480,611,1
1481,622,1
1482,981,1
1483,177,1
1484,115,1
1485,114,1
1486,259,1
1487,765,1
1488,364,1
1489,420,1
1490,802,1
1491,874,1
1492,816,1
1493,576,1
1494,680,1
1495,921,1
1496,337,1
1497,72,1
1498,113,1
1499,327,1
1500,737,1
1501,838,1
1502,72,1
1503,107,1
1504,181,1
1505,155,1
1506,673,1
1507,109,1
1508,346,1
1509,972,1
1510,905,1
1511,448,1
1512,920,1
1513,946,1
1514,198,1
1515,219,1
1516,69,1
1517,657,1
1518,581,1
1519,423,1
1520,61,1
1521,655,1
1522,931,1
1523,329,1
1524,120,1
1525,261,1
1526,558,1
1527,877,1
1528,422,1
1529,305,1
1530,422,1
1531,181,1
1532,931,1
1533,880,1
1534,764,1
1535,901,1
1536,590,1
1537,954,1
1538,918,1
1539,876,1
1540,477,1
1541,79,1
1542,234,1
1543,347,1
1544,628,1
1545,646,1
1546,131,1
1547,441,1
1548,745,1
1549,67,1
1550,497,1
1551,926,1
1552,939,1
1553,11,1
1554,343,1
1555,689,1
1556,291,1
1557,711,1
1558,645,1
1559,73,1
1560,382,1
1561,149,1
1562,618,1
1563,560,1
1564,261,1
1565,5,1
1566,465,1
1567,653,1
1568,626,1
1569,877,1
1570,455,1
1571,277,1
1572,573,1
1573,232,1
1574,1,1
1575,77,1
1576,206,1
1577,699,1
1578,796,1
1579,61,1
1580,272,1
1581,320,1
1582,508,1
1583,963,1
1584,100,1
1585,883,1
1586,409,1
1587,972,1
1588,354,1
1589,685,1
1590,754,1
1591,431,1
1592,277,1
1593,337,1
1594,259,1
1595,320,1
1596,810,1
1597,639,1
1598,223,1
1599,610,1
1600,404,1
1601,404,1
1602,359,1
1603,69,1
1604,209,1
1605,626,1
1606,606,1
1607,225,1
1608,936,1
1609,44,1
1610,542,1
1611,952,1
1612,704,1
1613,934,1
1614,871,1
1615,215,1
1616,170,1
1617,750,1
1618,237,1
1619,110,1
1620,534,1
1621,153,1
1622,195,1
1623,800,1
1624,371,1
1625,460,1
1626,86,1
1627,683,1
1628,226,1
1629,167,1
1630,441,1
1631,485,1
1632,297,1
1633,791,1
1634,748,1
1635,904,1
1636,675,1
1637,835,1
1638,119,1
1639,856,1
1640,308,1
1641,397,1
1642,809,1
1643,284,1
1644,887,1
1645,576,1
1646,805,1
1647,384,1
1648,57,1
1649,789,1
1650,883,1
1651,960,1
1652,918,1
1653,769,1
1654,827,1
1655,500,1
1656,491,1
1657,356,1
1658,477,1
1659,319,1
1660,931,1
1661,655,1
1662,337,1
1663,685,1
1664,788,1
1665,935,1
1666,278,1
1667,748,1
1668,618,1
1669,708,1
1670,335,1
1671,868,1
1672,630,1
1673,27,1
1674,701,1
1675,462,1
1676,353,1
1677,485,1
1678,684,1
1679,831,1
1680,1019,0
1681,313,1
1682,951,1
1683,257,1
1684,386,1
1685,975,1
1686,774,1
1687,503,1
1688,633,1
1689,107,1
1690,888,1
1691,953,1
1692,101,1
1693,92,1
1694,688,1
1695,859,1
1696,259,1
1697,635,1
1698,821,1
1699,166,1
1700,106,1
1701,72,1
1702,367,1
1703,36,1
1704,53,1
1705,964,1
1706,810,1
1707,168,1
1708,871,1
1709,150,1
1710,906,1
1711,70,1
1712,376,1
1713,853,1
1714,407,1
1715,654,1
1716,968,1
1717,847,1
1718,5,1
1719,854,1
1720,142,1
1721,855,1
1722,259,1
1723,971,1
1724,658,1
1725,317,1
1726,909,1
1727,977,1
1728,345,1
1729,225,1
1730,390,1
1731,648,1
1732,457,1
1733,759,1
1734,878,1
1735,231,1
1736,29,1
1737,619,1
1738,686,1
1739,31,1
1740,696,1
1741,712,1
1742,847,1
1743,759,1
1744,812,1
1745,1012,0
1746,193,1
1747,413,1
1748,13,1
1749,500,1
1750,67,1
1751,846,1
1752,634,1
1753,180,1
1754,355,1
1755,87,1
1756,407,1
1757,833,1
1758,1022,0
1759,1002,0
1760,596,1
1761,234,1
1762,191,1
1763,584,1
1764,547,1
1765,310,1
1766,559,1
1767,150,1
1768,872,1
1769,812,1
1770,562,1
1771,692,1
1772,926,1
1773,615,1
1774,691,1
1775,371,1
1776,816,1
1777,255,1
1778,476,1
1779,89,1
1780,899,1
1781,523,1
1782,695,1
1783,974,1
1784,67,1
1785,285,1
1786,856,1
1787,863,1
1788,419,1
1789,496,1
1790,977,1
1791,327,1
1792,911,1
1793,677,1
1794,351,1
1795,1018,0
1796,133,1
1797,867,1
1798,247,1
1799,746,1
1800,708,1
1801,921,1
1802,142,1
1803,552,1
1804,96,1
1805,148,1
1806,739,1
1807,788,1
1808,407,1
1809,108,1
1810,833,1
1811,552,1
1812,474,1
1813,794,1
1814,233,1
1815,666,1
1816,250,1
1817,662,1
1818,51,1
1819,275,1
1820,71,1
1821,24,1
1822,218,1
1823,871,1
1824,856,1
1825,786,1
1826,526,1
1827,335,1
1828,673,1
1829,610,1
1830,989,1
1831,424,1
1832,809,1
1833,564,1
1834,496,1
1835,605,1
1836,799,1
1837,334,1
1838,725,1
1839,454,1
1840,32,1
1841,304,1
1842,395,1
1843,951,1
1844,486,1
1845,768,1
1846,396,1
1847,478,1
1848,770,1
1849,722,1
1850,825,1
1851,264,1
1852,343,1
1853,255,1
1854,870,1
1855,455,1
1856,71,1
1857,21,1
1858,658,1
1859,797,1
1860,986,1
1861,110,1
1862,268,1
1863,633,1
1864,730,1
1865,139,1
1866,477,1
1867,769,1
1868,58,1
1869,497,1
1870,321,1
1871,829,1
1872,435,1
1873,498,1
1874,192,1
1875,565,1
1876,703,1
1877,208,1
1878,550,1
1879,231,1
1880,548,1
1881,42,1
1882,1013,0
1883,18,1
1884,564,1
1885,875,1
1886,533,1
1887,846,1
1888,319,1
1889,635,1
1890,493,1
1891,230,1
1892,899,1
1893,502,1
1894,533,1
1895,254,1
1896,597,1
1897,515,1
1898,209,1
1899,751,1
1900,387,1
1901,1,1
1902,108,1
1903,566,1
1904,566,1
1905,372,1
1906,194,1
1907,114,1
1908,198,1
1909,155,1
1910,334,1
1911,574,1
1912,115,1
1913,776,1
1914,216,1
1915,354,1
1916,638,1
1917,381,1
1918,522,1
1919,397,1
1920,872,1
1921,933,1
1922,53,1
1923,318,1
1924,727,1
1925,93,1
1926,431,1
1927,773,1
1928,53,1
1929,920,1
1930,137,1
1931,704,1
1932,766,1
1933,605,1
1934,91,1
1935,400,1
1936,859,1
1937,565,1
1938,23,1
1939,220,1
1940,976,1
1941,38,1
1942,73,1
1943,974,1
1944,877,1
1945,569,1
1946,782,1
1947,41,1
1948,741,1
1949,748,1
1950,492,1
1951,708,1
1952,653,1
1953,410,1
1954,609,1
1955,741,1
1956,1012,0
1957,558,1
1958,151,1
1959,411,1
1960,78,1
1961,231,1
1962,321,1
1963,75,1
1964,237,1
1965,723,1
1966,161,1
1967,30,1
1968,615,1
1969,413,1
1970,587,1
1971,510,1
1972,1000,1
1973,81,1
1974,446,1
1975,42,1
1976,341,1
1977,723,1
1978,607,1
1979,943,1
1980,593,1
1981,667,1
1982,608,1
1983,742,1
1984,645,1
1985,421,1
1986,388,1
1987,929,1
1988,563,1
1989,160,1
1990,274,1
1991,103,1
1992,380,1
1993,775,1
1994,931,1
1995,985,1
1996,805,1
1997,341,1
1998,491,1
1999,43,1
2000,87,1
2001,330,1
2002,373,1
2003,454,1
2004,598,1
2005,23,1
2006,717,1
2007,848,1
2008,724,1
2009,818,1
2010,789,1
2011,417,1
2012,910,1
2013,711,1
2014,73,1
2015,777,1
2016,244,1
2017,528,1
2018,840,1
2019,994,1
2020,1,1
2021,816,1
2022,147,1
2023,635,1
2024,456,1
2025,692,1
2026,772,1
2027,887,1
2028,352,1
2029,931,1
2030,58,1
2031,831,1
2032,204,1
2033,321,1
2034,267,1
2035,907,1
2036,519,1
2037,23,1
2038,558,1
2039,766,1
2040,75,1
2041,210,1
2042,5,1
2043,946,1
2044,887,1
2045,839,1
2046,857,1
2047,879,1
2048,986,1
2049,350,1
2050,861,1
2051,670,1
2052,650,1
2053,409,1
2054,237,1
2055,60,1
2056,179,1
2057,100,1
2058,680,1
2059,902,1
2060,383,1
2061,627,1
2062,707,1
2063,897,1
2064,551,1
2065,788,1
2066,409,1
2067,267,1
2068,765,1
2069,595,1
2070,545,1
2071,957,1
2072,121,1
2073,947,1
2074,652,1
2075,803,1
2076,74,1
2077,237,1
2078,143,1
2079,233,1
2080,753,1
2081,681,1
2082,1003,0
2083,693,1
2084,421,1
2085,235,1
2086,190,1
2087,764,1
2088,257,1
2089,970,1
2090,1,1
2091,732,1
2092,991,1
2093,416,1
2094,410,1
2095,270,1
2096,111,1
2097,695,1
2098,879,1
2099,951,1
2100,987,1
2101,856,1
2102,101,1
2103,34,1
2104,601,1
2105,720,1
2106,438,1
2107,328,1
2108,726,1
2109,35,1
2110,56,1
2111,354,1
2112,198,1
2113,983,1
2114,88,1
2115,871,1
2116,353,1
2117,814,1
2118,640,1
2119,155,1
2120,63,1
2121,664,1
2122,978,1
2123,658,1
2124,756,1
2125,405,1
2126,368,1
2127,955,1
2128,995,1
2129,293,1
2130,796,1
